League;Date;Get;Pay;Value;Confidence
Keepers;2025-10-31;Chromatic Orb;Chaos Orb;0.2;High
Keepers;2025-11-01;Chromatic Orb;Chaos Orb;0.19231;High
Keepers;2025-11-02;Chromatic Orb;Chaos Orb;0.19231;High
Keepers;2025-11-03;Chromatic Orb;Chaos Orb;0.16667;High
Keepers;2025-11-04;Chromatic Orb;Chaos Orb;0.1497;High
Keepers;2025-11-05;Chromatic Orb;Chaos Orb;0.12375;High
Keepers;2025-11-06;Chromatic Orb;Chaos Orb;0.12266;High
Keepers;2025-11-07;Chromatic Orb;Chaos Orb;0.13333;High
Keepers;2025-11-08;Chromatic Orb;Chaos Orb;0.14286;High
Keepers;2025-11-09;Chromatic Orb;Chaos Orb;0.14286;High
Keepers;2025-11-10;Chromatic Orb;Chaos Orb;0.13333;High
Keepers;2025-11-11;Chromatic Orb;Chaos Orb;0.125;High
Keepers;2025-11-12;Chromatic Orb;Chaos Orb;0.1247;High
Keepers;2025-11-13;Chromatic Orb;Chaos Orb;0.11118;High
Keepers;2025-11-14;Chromatic Orb;Chaos Orb;0.11111;High
Keepers;2025-11-15;Chromatic Orb;Chaos Orb;0.11111;High
Keepers;2025-11-16;Chromatic Orb;Chaos Orb;0.11111;High
Keepers;2025-11-17;Chromatic Orb;Chaos Orb;0.1073;High
Keepers;2025-11-18;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-19;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-20;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-21;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-22;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-23;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-24;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-25;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-26;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-27;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-28;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-29;Chromatic Orb;Chaos Orb;0.1;High
Keepers;2025-11-30;Chromatic Orb;Chaos Orb;0.1065;High
Keepers;2025-12-01;Chromatic Orb;Chaos Orb;0.10675;High
Keepers;2025-12-02;Chromatic Orb;Chaos Orb;0.10711;High
Keepers;2025-12-03;Chromatic Orb;Chaos Orb;0.11021;High
Keepers;2025-12-04;Chromatic Orb;Chaos Orb;0.11111;High
Keepers;2025-12-05;Chromatic Orb;Chaos Orb;0.11111;High
Keepers;2025-12-06;Chromatic Orb;Chaos Orb;0.11256;High
Keepers;2025-12-07;Chromatic Orb;Chaos Orb;0.1139;High
Keepers;2025-12-08;Chromatic Orb;Chaos Orb;0.11951;High
Keepers;2025-12-09;Chromatic Orb;Chaos Orb;0.1206;High
