League;Date;Get;Pay;Value;Confidence
Mirage;2026-03-06;Chromatic Orb;Chaos Orb;0.18167;High
Mirage;2026-03-07;Chromatic Orb;Chaos Orb;0.14286;High
Mirage;2026-03-08;Chromatic Orb;Chaos Orb;0.14858;High
Mirage;2026-03-09;Chromatic Orb;Chaos Orb;0.14286;High
Mirage;2026-03-10;Chromatic Orb;Chaos Orb;0.14184;High
Mirage;2026-03-11;Chromatic Orb;Chaos Orb;0.13333;High
Mirage;2026-03-12;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-13;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-14;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-15;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-16;Chromatic Orb;Chaos Orb;0.13333;High
Mirage;2026-03-17;Chromatic Orb;Chaos Orb;0.14;High
Mirage;2026-03-18;Chromatic Orb;Chaos Orb;0.14226;High
Mirage;2026-03-19;Chromatic Orb;Chaos Orb;0.1406;High
Mirage;2026-03-20;Chromatic Orb;Chaos Orb;0.13973;High
Mirage;2026-03-21;Chromatic Orb;Chaos Orb;0.13727;High
Mirage;2026-03-22;Chromatic Orb;Chaos Orb;0.13699;High
Mirage;2026-03-23;Chromatic Orb;Chaos Orb;0.13774;High
Mirage;2026-03-24;Chromatic Orb;Chaos Orb;0.13708;High
Mirage;2026-03-25;Chromatic Orb;Chaos Orb;0.13746;High
Mirage;2026-03-26;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-27;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-28;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-29;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-30;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-03-31;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-04-01;Chromatic Orb;Chaos Orb;0.13772;High
Mirage;2026-04-02;Chromatic Orb;Chaos Orb;0.13945;High
Mirage;2026-04-03;Chromatic Orb;Chaos Orb;0.14929;High
Mirage;2026-04-04;Chromatic Orb;Chaos Orb;0.14085;High
Mirage;2026-04-05;Chromatic Orb;Chaos Orb;0.14206;High
Mirage;2026-04-06;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-04-07;Chromatic Orb;Chaos Orb;0.125;High
Mirage;2026-04-08;Chromatic Orb;Chaos Orb;0.12792;High
Mirage;2026-04-09;Chromatic Orb;Chaos Orb;0.13292;High
Mirage;2026-04-10;Chromatic Orb;Chaos Orb;0.16573;High
Mirage;2026-04-11;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-04-12;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-04-13;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-04-14;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-04-15;Chromatic Orb;Chaos Orb;0.16663;High
Mirage;2026-04-16;Chromatic Orb;Chaos Orb;0.1646;High
Mirage;2026-04-17;Chromatic Orb;Chaos Orb;0.16115;High
Mirage;2026-04-18;Chromatic Orb;Chaos Orb;0.15812;High
Mirage;2026-04-19;Chromatic Orb;Chaos Orb;0.1457;High
Mirage;2026-04-20;Chromatic Orb;Chaos Orb;0.15463;High
Mirage;2026-04-21;Chromatic Orb;Chaos Orb;0.16115;High
Mirage;2026-04-22;Chromatic Orb;Chaos Orb;0.1514;High
Mirage;2026-04-23;Chromatic Orb;Chaos Orb;0.16597;High
Mirage;2026-04-24;Chromatic Orb;Chaos Orb;0.1666;High
Mirage;2026-04-25;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-04-26;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-04-27;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-04-28;Chromatic Orb;Chaos Orb;0.18182;High
Mirage;2026-04-29;Chromatic Orb;Chaos Orb;0.17425;High
Mirage;2026-04-30;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-05-01;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-05-02;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-05-03;Chromatic Orb;Chaos Orb;0.17273;High
Mirage;2026-05-04;Chromatic Orb;Chaos Orb;0.17879;High
Mirage;2026-05-05;Chromatic Orb;Chaos Orb;0.17879;High
Mirage;2026-05-06;Chromatic Orb;Chaos Orb;0.1911;High
Mirage;2026-05-07;Chromatic Orb;Chaos Orb;0.2;High
Mirage;2026-05-08;Chromatic Orb;Chaos Orb;0.18546;High
Mirage;2026-05-09;Chromatic Orb;Chaos Orb;0.18031;High
Mirage;2026-05-10;Chromatic Orb;Chaos Orb;0.18651;High
Mirage;2026-05-11;Chromatic Orb;Chaos Orb;0.18651;High
Mirage;2026-05-12;Chromatic Orb;Chaos Orb;0.19003;High
Mirage;2026-05-13;Chromatic Orb;Chaos Orb;0.17742;High
Mirage;2026-05-14;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-05-15;Chromatic Orb;Chaos Orb;0.16667;High
Mirage;2026-05-16;Chromatic Orb;Chaos Orb;0.16667;High
