League;Date;Get;Pay;Value;Confidence
Phrecia;2025-02-20;Chromatic Orb;Chaos Orb;0.19;High
Phrecia;2025-02-21;Chromatic Orb;Chaos Orb;0.125;High
Phrecia;2025-02-22;Chromatic Orb;Chaos Orb;0.2;High
Phrecia;2025-02-23;Chromatic Orb;Chaos Orb;0.21;High
Phrecia;2025-02-24;Chromatic Orb;Chaos Orb;0.2;High
Phrecia;2025-02-25;Chromatic Orb;Chaos Orb;0.175;High
Phrecia;2025-02-26;Chromatic Orb;Chaos Orb;0.14266;High
Phrecia;2025-02-27;Chromatic Orb;Chaos Orb;0.125;High
Phrecia;2025-02-28;Chromatic Orb;Chaos Orb;0.11628;High
Phrecia;2025-03-01;Chromatic Orb;Chaos Orb;0.11628;High
Phrecia;2025-03-02;Chromatic Orb;Chaos Orb;0.11628;High
Phrecia;2025-03-03;Chromatic Orb;Chaos Orb;0.11628;High
Phrecia;2025-03-04;Chromatic Orb;Chaos Orb;0.11628;High
Phrecia;2025-03-05;Chromatic Orb;Chaos Orb;0.11338;High
Phrecia;2025-03-06;Chromatic Orb;Chaos Orb;0.10396;High
Phrecia;2025-03-07;Chromatic Orb;Chaos Orb;0.1;High
Phrecia;2025-03-08;Chromatic Orb;Chaos Orb;0.1;High
Phrecia;2025-03-09;Chromatic Orb;Chaos Orb;0.1;High
Phrecia;2025-03-10;Chromatic Orb;Chaos Orb;0.1;High
Phrecia;2025-03-11;Chromatic Orb;Chaos Orb;0.099;High
Phrecia;2025-03-12;Chromatic Orb;Chaos Orb;0.09765;High
Phrecia;2025-03-13;Chromatic Orb;Chaos Orb;0.09788;High
Phrecia;2025-03-14;Chromatic Orb;Chaos Orb;0.09682;High
Phrecia;2025-03-15;Chromatic Orb;Chaos Orb;0.09381;High
Phrecia;2025-03-16;Chromatic Orb;Chaos Orb;0.09435;High
Phrecia;2025-03-17;Chromatic Orb;Chaos Orb;0.0944;High
Phrecia;2025-03-18;Chromatic Orb;Chaos Orb;0.0944;High
Phrecia;2025-03-19;Chromatic Orb;Chaos Orb;0.09481;High
Phrecia;2025-03-20;Chromatic Orb;Chaos Orb;0.09524;High
Phrecia;2025-03-21;Chromatic Orb;Chaos Orb;0.09499;High
Phrecia;2025-03-22;Chromatic Orb;Chaos Orb;0.0944;High
Phrecia;2025-03-23;Chromatic Orb;Chaos Orb;0.0944;High
Phrecia;2025-03-24;Chromatic Orb;Chaos Orb;0.0944;High
Phrecia;2025-03-25;Chromatic Orb;Chaos Orb;0.09426;High
Phrecia;2025-03-26;Chromatic Orb;Chaos Orb;0.09175;High
Phrecia;2025-03-27;Chromatic Orb;Chaos Orb;0.09075;High
Phrecia;2025-03-28;Chromatic Orb;Chaos Orb;0.0909;High
Phrecia;2025-03-29;Chromatic Orb;Chaos Orb;0.09371;High
Phrecia;2025-03-30;Chromatic Orb;Chaos Orb;0.09449;High
Phrecia;2025-03-31;Chromatic Orb;Chaos Orb;0.09263;High
Phrecia;2025-04-01;Chromatic Orb;Chaos Orb;0.09263;High
Phrecia;2025-04-02;Chromatic Orb;Chaos Orb;0.09263;High
Phrecia;2025-04-03;Chromatic Orb;Chaos Orb;0.09322;High
Phrecia;2025-04-04;Chromatic Orb;Chaos Orb;0.09328;High
